time,open,high,low,close,volume
1768596300000,95250.01000000,95561.50000000,95203.63000000,95553.60000000,177.01478000
1768597200000,95553.61000000,95600.00000000,95416.00000000,95416.01000000,152.56304000
1768598100000,95416.01000000,95453.84000000,95359.69000000,95423.14000000,59.76678000
1768599000000,95423.15000000,95568.64000000,95384.85000000,95551.10000000,57.75216000
1768599900000,95551.10000000,95562.60000000,95468.82000000,95523.52000000,71.05870000
1768600800000,95523.52000000,95574.00000000,95275.82000000,95383.94000000,94.20797000
1768601700000,95383.94000000,95460.58000000,95347.88000000,95371.64000000,57.51575000
1768602600000,95371.65000000,95419.55000000,95260.64000000,95419.54000000,78.72548000
1768603500000,95419.55000000,95514.00000000,95324.83000000,95514.00000000,52.65646000
1768604400000,95513.99000000,95526.16000000,95433.83000000,95526.16000000,43.09000000
1768605300000,95526.15000000,95575.46000000,95479.44000000,95557.00000000,48.43608000
1768606200000,95557.00000000,95576.99000000,95461.11000000,95461.38000000,31.13049000
1768607100000,95461.39000000,95577.89000000,95461.39000000,95550.94000000,20.75347000
1768608000000,95550.94000000,95578.20000000,95520.04000000,95538.68000000,23.56344000
1768608900000,95538.69000000,95570.46000000,95477.24000000,95479.43000000,40.52215000
1768609800000,95479.44000000,95522.83000000,95433.94000000,95470.95000000,28.73464000
1768610700000,95470.96000000,95532.12000000,95450.00000000,95465.97000000,36.31333000
1768611600000,95465.97000000,95530.00000000,95436.71000000,95453.96000000,44.87100000
1768612500000,95453.96000000,95491.40000000,95453.96000000,95472.74000000,10.68341000
1768613400000,95472.73000000,95493.25000000,95398.23000000,95402.75000000,25.64089000
1768614300000,95402.74000000,95427.66000000,95384.86000000,95399.93000000,23.07128000
1768615200000,95399.94000000,95412.86000000,95283.99000000,95284.56000000,58.52414000
1768616100000,95284.55000000,95294.08000000,95260.05000000,95290.30000000,34.22051000
1768617000000,95290.30000000,95363.31000000,95200.00000000,95314.57000000,40.06228000
1768617900000,95314.58000000,95384.87000000,95277.29000000,95371.35000000,22.32189000
1768618800000,95371.36000000,95371.37000000,95311.64000000,95311.64000000,27.56139000
1768619700000,95311.65000000,95334.78000000,95291.99000000,95330.96000000,27.25560000
1768620600000,95330.95000000,95332.85000000,95270.79000000,95332.85000000,31.41516000
1768621500000,95332.85000000,95384.87000000,95270.83000000,95372.95000000,46.22025000
1768622400000,95372.94000000,95372.95000000,95325.95000000,95325.96000000,15.18665000
1768623300000,95325.96000000,95336.92000000,95260.64000000,95334.52000000,34.84050000
1768624200000,95334.52000000,95334.53000000,95269.81000000,95334.45000000,40.12907000
1768625100000,95334.44000000,95350.28000000,95300.00000000,95303.64000000,41.37061000
1768626000000,95303.63000000,95373.64000000,95275.05000000,95281.39000000,41.99893000
1768626900000,95281.40000000,95329.07000000,95281.39000000,95322.94000000,24.64891000
1768627800000,95322.94000000,95323.77000000,95298.35000000,95314.83000000,19.75779000
1768628700000,95314.82000000,95323.68000000,95296.91000000,95323.67000000,17.55218000
1768629600000,95323.68000000,95323.68000000,95186.29000000,95240.89000000,42.79627000
1768630500000,95240.89000000,95240.89000000,95201.76000000,95223.23000000,19.14931000
1768631400000,95223.22000000,95347.89000000,95223.22000000,95268.01000000,45.69231000
1768632300000,95268.01000000,95268.01000000,95224.70000000,95240.07000000,18.06789000
1768633200000,95240.08000000,95240.08000000,95096.71000000,95125.18000000,69.67472000
1768634100000,95125.18000000,95184.05000000,95120.39000000,95176.61000000,21.09598000
1768635000000,95176.61000000,95183.27000000,95142.24000000,95142.24000000,38.33407000
1768635900000,95142.24000000,95142.25000000,95041.70000000,95101.67000000,68.24068000
1768636800000,95101.67000000,95186.30000000,95021.67000000,95172.10000000,44.65805000
1768637700000,95172.10000000,95232.70000000,95166.65000000,95215.30000000,25.92903000
1768638600000,95215.30000000,95260.65000000,95215.30000000,95215.31000000,60.88553000
1768639500000,95215.31000000,95251.31000000,95215.30000000,95247.51000000,33.02298000
1768640400000,95247.51000000,95254.28000000,95209.78000000,95209.79000000,20.24437000
1768641300000,95209.78000000,95221.36000000,95176.90000000,95221.36000000,17.58745000
1768642200000,95221.36000000,95281.59000000,95202.56000000,95266.72000000,33.55669000
1768643100000,95266.72000000,95290.08000000,95260.64000000,95260.65000000,32.86026000
1768644000000,95260.65000000,95260.65000000,95218.64000000,95254.25000000,18.78027000
1768644900000,95254.25000000,95271.21000000,95227.55000000,95236.03000000,16.75228000
1768645800000,95236.04000000,95236.04000000,95167.97000000,95167.98000000,34.01557000
1768646700000,95167.97000000,95167.98000000,95116.47000000,95116.48000000,57.69258000
1768647600000,95116.48000000,95128.41000000,95073.57000000,95121.79000000,35.31449000
1768648500000,95121.79000000,95299.59000000,95121.79000000,95299.59000000,78.36200000
1768649400000,95299.59000000,95319.04000000,95262.45000000,95319.04000000,61.33639000
1768650300000,95319.04000000,95323.86000000,95294.25000000,95323.86000000,43.83721000
1768651200000,95323.85000000,95362.25000000,95294.00000000,95362.25000000,47.63797000
1768652100000,95362.24000000,95412.84000000,95243.63000000,95270.24000000,107.39527000
1768653000000,95270.24000000,95280.81000000,95249.61000000,95267.50000000,36.75301000
1768653900000,95267.50000000,95267.51000000,95246.73000000,95251.15000000,23.83739000
1768654800000,95251.15000000,95277.14000000,95198.81000000,95244.54000000,60.98734000
1768655700000,95244.54000000,95372.10000000,95232.04000000,95369.64000000,77.40574000
1768656600000,95369.65000000,95433.13000000,95327.67000000,95433.12000000,47.74857000
1768657500000,95433.12000000,95438.33000000,95412.86000000,95438.32000000,41.69459000
1768658400000,95438.32000000,95438.33000000,95357.02000000,95432.98000000,49.17667000
1768659300000,95432.98000000,95479.39000000,95385.99000000,95476.38000000,85.84161000
1768660200000,95476.39000000,95544.07000000,95440.71000000,95451.03000000,68.53536000
1768661100000,95451.02000000,95499.88000000,95412.86000000,95471.18000000,56.01220000
1768662000000,95471.17000000,95639.45000000,95456.46000000,95500.01000000,135.35236000
1768662900000,95500.01000000,95562.16000000,95438.60000000,95513.60000000,151.47718000
1768663800000,95513.61000000,95608.45000000,95513.60000000,95584.24000000,207.26380000
1768664700000,95584.23000000,95599.70000000,95433.81000000,95573.64000000,253.87609000
1768665600000,95573.65000000,95576.14000000,95486.15000000,95499.82000000,52.05622000
1768666500000,95499.81000000,95513.26000000,95283.99000000,95471.70000000,112.90651000
1768667400000,95471.69000000,95471.70000000,95304.68000000,95388.08000000,87.70984000
1768668300000,95388.08000000,95388.09000000,95212.25000000,95315.23000000,77.99878000
1768669200000,95315.23000000,95384.87000000,95295.17000000,95363.80000000,43.22559000
1768670100000,95363.81000000,95415.97000000,95346.50000000,95412.86000000,30.26597000
1768671000000,95412.86000000,95440.80000000,95390.43000000,95436.32000000,40.82660000
1768671900000,95436.33000000,95436.33000000,95322.00000000,95357.24000000,26.88674000
1768672800000,95357.23000000,95445.82000000,95346.00000000,95437.19000000,34.07447000
1768673700000,95437.18000000,95465.96000000,95437.18000000,95455.20000000,19.87524000
1768674600000,95455.21000000,95465.98000000,95440.82000000,95440.84000000,27.80625000
1768675500000,95440.83000000,95440.84000000,95417.56000000,95428.25000000,18.75134000
1768676400000,95428.25000000,95428.25000000,95393.16000000,95393.17000000,13.62635000
1768677300000,95393.16000000,95393.17000000,95336.63000000,95336.63000000,19.49389000
1768678200000,95336.64000000,95359.46000000,95299.70000000,95299.70000000,19.27478000
1768679100000,95299.69000000,95299.70000000,95290.70000000,95291.38000000,11.71206000
1768680000000,95291.37000000,95299.08000000,95291.37000000,95291.37000000,11.01839000
1768680900000,95291.37000000,95383.84000000,95291.36000000,95331.96000000,26.73805000
1768681800000,95331.96000000,95331.96000000,95299.58000000,95316.50000000,9.43195000
1768682700000,95316.50000000,95378.19000000,95316.50000000,95378.18000000,18.07034000
1768683600000,95378.19000000,95382.02000000,95346.08000000,95346.08000000,13.77706000
1768684500000,95346.09000000,95412.86000000,95346.08000000,95368.89000000,24.70027000
1768685400000,95368.89000000,95368.89000000,95288.24000000,95288.26000000,58.50647000
1768686300000,95288.25000000,95308.82000000,95283.99000000,95302.94000000,17.03575000
1768687200000,95302.94000000,95302.94000000,95154.49000000,95188.00000000,47.68975000
1768688100000,95188.00000000,95238.92000000,95164.00000000,95175.01000000,37.89012000
1768689000000,95175.01000000,95175.18000000,95060.58000000,95145.34000000,68.95246000
1768689900000,95145.34000000,95236.25000000,95050.00000000,95170.97000000,54.65222000
1768690800000,95170.98000000,95208.96000000,95145.90000000,95187.45000000,29.97612000
1768691700000,95187.44000000,95187.44000000,95128.22000000,95134.66000000,30.54763000
1768692600000,95134.66000000,95171.01000000,95123.79000000,95157.07000000,25.38437000
1768693500000,95157.06000000,95157.98000000,95130.23000000,95147.77000000,24.59226000
1768694400000,95147.77000000,95225.73000000,95088.16000000,95190.86000000,100.59963000
1768695300000,95190.87000000,95250.00000000,95190.86000000,95199.68000000,25.22139000
1768696200000,95199.67000000,95227.60000000,95136.65000000,95140.68000000,24.08817000
1768697100000,95140.68000000,95140.68000000,95067.83000000,95112.47000000,29.11772000
1768698000000,95112.48000000,95112.48000000,94876.33000000,94950.04000000,125.68185000
1768698900000,94950.03000000,95035.74000000,94909.33000000,95035.73000000,38.13953000
1768699800000,95035.74000000,95073.02000000,94988.98000000,94988.98000000,36.98969000
1768700700000,94988.99000000,95017.63000000,94896.04000000,94966.90000000,42.90973000
1768701600000,94966.89000000,95028.00000000,94966.89000000,95013.73000000,44.53094000
1768702500000,95013.73000000,95069.07000000,95013.73000000,95016.34000000,22.44507000
1768703400000,95016.34000000,95016.35000000,94880.53000000,94963.69000000,57.65295000
1768704300000,94963.68000000,95033.90000000,94963.68000000,95022.01000000,23.83174000
1768705200000,95022.01000000,95069.52000000,95022.01000000,95063.29000000,24.84972000
1768706100000,95063.28000000,95135.55000000,95041.82000000,95135.54000000,49.08065000
1768707000000,95135.54000000,95186.30000000,95135.54000000,95159.07000000,49.17667000
1768707900000,95159.07000000,95205.74000000,95159.00000000,95200.29000000,26.71900000
1768708800000,95200.29000000,95200.30000000,95124.06000000,95168.00000000,35.84669000
1768709700000,95168.01000000,95168.01000000,95103.49000000,95103.49000000,17.07043000
1768710600000,95103.50000000,95129.02000000,95075.30000000,95105.10000000,20.52614000
1768711500000,95105.10000000,95109.74000000,95095.68000000,95095.68000000,17.43517000
1768712400000,95095.68000000,95096.00000000,95062.07000000,95096.00000000,26.62885000
1768713300000,95096.00000000,95142.56000000,95075.38000000,95142.55000000,54.43140000
1768714200000,95142.55000000,95178.36000000,95059.27000000,95178.36000000,51.27326000
1768715100000,95178.36000000,95260.00000000,95150.56000000,95188.55000000,44.11968000
1768716000000,95188.54000000,95189.16000000,95165.55000000,95178.33000000,23.68364000
